source,target,weight
0xb8ac05b6003c8106226b1231989af2d778ce7098,0xbc40e7c0ee527bbac9a3c010922938b365a50ff7,3
0x7b2b452ce19601a6e4e6c3419c66b0bafd74ce6e,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x098a57b9bcad4f3c5fd0ac877d0e2436ae553a72,2
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x46c4128981525aa446e02ffb2ff762f1d6a49170,6
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x27239549dd40e1d60f5b80b0c4196923745b1fd2,2
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x27239549dd40e1d60f5b80b0c4196923745b1fd2,13
0x27239549dd40e1d60f5b80b0c4196923745b1fd2,0x9b9ba2b4708122067b3f7e26f0d590eb1c5c80ba,1
0x46c4128981525aa446e02ffb2ff762f1d6a49170,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,7
0x098a57b9bcad4f3c5fd0ac877d0e2436ae553a72,0x0000000000000000000000000000000000000000,3
0x0000000000000000000000000000000000000000,0x55802e0bd202eccade61fc1cc6665ba996ed9cbe,1
0xd5d718684cf4bb3d8427c047f2ef6de23ae2984f,0x74de5d4fcbf63e00296fd95d33236b9794016631,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x88172e5d79fe75c7aed1453e89ff5d741cfa4ca7,72
0x0000000000000000000000000000000000000000,0x0698f030885c358a2ac81afc2ff8bf7b086e0773,1
0x55802e0bd202eccade61fc1cc6665ba996ed9cbe,0x0000000000000000000000000000000000000000,1
0x098a57b9bcad4f3c5fd0ac877d0e2436ae553a72,0x0000000000000000000000000000000000000000,3
0xe257266e9082576127f23ca5076dc543bee9c0fa,0xf580a881be1cedb0db77cd3dec58d50ee223d11f,1
0x49b684da7bdbd2a14036b4d511e990c48750f22d,0xc2ea113c212e265f2ce672e15fc97dc9b39b83b3,3
0xf580a881be1cedb0db77cd3dec58d50ee223d11f,0x5f65f7b609678448494de4c87521cdf6cef1e932,1
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x27239549dd40e1d60f5b80b0c4196923745b1fd2,13
0x27239549dd40e1d60f5b80b0c4196923745b1fd2,0x281743bff327fbf65569251169b381ae78329585,1
0x7b8ab5b5d11fc23886fca98c4ff7925d9eb1b0c0,0x74de5d4fcbf63e00296fd95d33236b9794016631,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,176
