source,target,weight
0xf0a3b9f19afc040c39a50001760ca1659fb7871b,0x28c6c06298d514db089934071355e5743bf21d60,91
0x4b404a37107b77936cfdd5d825520fc053d709ca,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,1
0xdcad279e517d7be07934ff85949fd6598758ce0b,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,258
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x16b70f44719b227278a2dc1122e8106cc929ecd1,258
0x7210e71c96e002ecc784f4be6f0cb5ce35e49b2d,0x882392b8ecf83338811a534e8a06ed11b61d2c9d,1
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x40d8f3433bf89aa89dbc4439ee3d18fca5fab319,1
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,116
0x40d8f3433bf89aa89dbc4439ee3d18fca5fab319,0x56c705200635590e90e9b0876dff9e3c3d1b4b22,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0xca55c63c93854c3f34db9720587233f8f15d4c6f,1
0xca55c63c93854c3f34db9720587233f8f15d4c6f,0x74de5d4fcbf63e00296fd95d33236b9794016631,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,670
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0xe38c154e812874c1c876151ef5dd2c7c7d831411,13
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x32bd3549c31d075662ca070695f334b6638d5225,2
0xe5626ee694e5df96e57c8afcd4a8d57870099059,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,2
0xe5626ee694e5df96e57c8afcd4a8d57870099059,0x16b70f44719b227278a2dc1122e8106cc929ecd1,2
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,170
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,170
0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,0xf0a3b9f19afc040c39a50001760ca1659fb7871b,116
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,170
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x0000000000710a9c1f6db5f504be77ffb3b583ec,3
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x1111111254fb6c44bac0bed2854e76f90643097d,120
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x1111111254fb6c44bac0bed2854e76f90643097d,127
0x1111111254fb6c44bac0bed2854e76f90643097d,0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,36
0x0000000000710a9c1f6db5f504be77ffb3b583ec,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,3
0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,0xf0a3b9f19afc040c39a50001760ca1659fb7871b,116
0xf8d509d300036394b342fd331e13d90df6bea913,0x74de5d4fcbf63e00296fd95d33236b9794016631,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,670
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0xc7dc4bc4402b7eefdb69fb212740cfb18beb64b4,1
