source,target,weight
0xafed15937e5937bd6ece07b662bd261d070810f6,0x5860f24a925687f3ea4a3cc8f4e47e18261e76d5,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x1e3ef499325bc99016d5c68f327f12fb241bda29,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x2a12e0757e9e49c832bbeda46c7609174353b6be,1
0x7d5f628980e1b86ad62fda3c6a484334dbb6c1d5,0x0000000000000000000000000000000000000000,1
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0xdebe7e937c2a814d9f0356cc3914cc6e99db26c2,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0xd20ed7fffb2a04fa545179cf13dc43fc15cf5b29,2
0x77696bb39917c91a0c3908d577d5e322095425ca,0xb08b30b84139cc816836af5fec758569a4c0bbad,2
0x7879d0925d91d5792bbc2c99cdecc745019e8c45,0x74de5d4fcbf63e00296fd95d33236b9794016631,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,568
0xe554bcffbf999bbaa08ae030fc46b0a070762a2c,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0xba13faa23d7c127fd0e4810cc1073609a58b8039,0xa735abc11bd199a79a84fca0b4ab8a480fe77734,1
0x3ee22bedcebdb25008194ecc71f61083a357e25e,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0xd20ed7fffb2a04fa545179cf13dc43fc15cf5b29,2
0x5860f24a925687f3ea4a3cc8f4e47e18261e76d5,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x3f832b4ec4f12724635dd7d773a545403fc66e7e,0x74de5d4fcbf63e00296fd95d33236b9794016631,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,568
0x77696bb39917c91a0c3908d577d5e322095425ca,0xd0fcbbe0772f1fe8dbfe13dc28f2f8ceb91cba5b,2
0x1dc7ca4ecc0f3d5f3ff753a71a8b3aec57337495,0xe1c22deb70bac47b99a117cd1f810bc01aa8b355,1
0x7635daa2c1f2f9d4be9b8d91ebd25001f74b78a4,0x16b70f44719b227278a2dc1122e8106cc929ecd1,1
0xd0fcbbe0772f1fe8dbfe13dc28f2f8ceb91cba5b,0x5f65f7b609678448494de4c87521cdf6cef1e932,3
0x77696bb39917c91a0c3908d577d5e322095425ca,0xbb44de3bf2dcac4a1fa750d681eee357aefe3b75,1
