source,target,weight
0x77696bb39917c91a0c3908d577d5e322095425ca,0x1d8ca3419e11be078620f8143fad816bb8ab7cce,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x5cd227d7238a333a5ad130d9d94cd14afba00dd3,1
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x59e0fc7e4d41b9cd1040d499cc7d781c722ab279,4
0x383346dd8100eb81841c83a70a68ec8f4586654d,0x32086d2dc4cc1869b5e4184dc322af1c3550a4db,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x32a652f98bc9008d513b556ecc9894beaf15df12,1
0xdcad279e517d7be07934ff85949fd6598758ce0b,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,154
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x16b70f44719b227278a2dc1122e8106cc929ecd1,178
0x77696bb39917c91a0c3908d577d5e322095425ca,0xafbbda3c6d133cb9319c2c2498f656239bc9c222,1
0x3e4c42c3f8f62fd87c8d0a0cfded7062f6ddbd69,0x16b70f44719b227278a2dc1122e8106cc929ecd1,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0xa492a0133e83dd9a20ff4dc6f6f596541f7880d0,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x379e4d442f1f7cde8843602c536f08f060d94dfe,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0xee7f66bd624b35cceff813915ae965ad64286acd,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0xf38252605414912d04f0443b9f314e1c52fc2a9a,1
0xfba23c7f2209e79c60546057d6d06c2cae5f3126,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,2
0x0000000000000000000000000000000000000000,0x4525f7d64a4d69304a5a8a1f9345fc44de308b8f,32
0x0c8e76404c56b591c608c3128e72673270e9ee1f,0x74de5d4fcbf63e00296fd95d33236b9794016631,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,591
0x4525f7d64a4d69304a5a8a1f9345fc44de308b8f,0x5f65f7b609678448494de4c87521cdf6cef1e932,31
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x7d2ecd8fc2d685c5d559be392a3e8921063f1cfd,2
0x77696bb39917c91a0c3908d577d5e322095425ca,0xe8787721377157782b322b8de30c7375831a8dd0,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x05c362e2c967d9877059f1e364f1f7ac9db97c41,1
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x93444037fa361fd822792bd43802752ee3c91c39,2
0x42e587ab67c386efd70f6d4d4137e7425acf79c7,0x74de5d4fcbf63e00296fd95d33236b9794016631,2
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,591
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x59e0fc7e4d41b9cd1040d499cc7d781c722ab279,4
0x77696bb39917c91a0c3908d577d5e322095425ca,0x4847b5183fe3340eb3614ba48c169eb00cc913a7,1
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x80c218637ecc5aaf3e7521286553ce14144d0c31,7
0x77696bb39917c91a0c3908d577d5e322095425ca,0x86a8d69ee9dc6327447d2ed71c00bae6d87867d5,1
0x32086d2dc4cc1869b5e4184dc322af1c3550a4db,0x383346dd8100eb81841c83a70a68ec8f4586654d,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0xab98312d33b062e61c07723c9b786d564de4d9cd,1
0x03a63dab5d73a9b580f0428f6c6750197b609ff5,0x74de5d4fcbf63e00296fd95d33236b9794016631,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x16b70f44719b227278a2dc1122e8106cc929ecd1,520
0x77696bb39917c91a0c3908d577d5e322095425ca,0x4d003a5ea1ef10fed8dd08fb90a79b198e9863f3,103
0x93df1758042b4bb31217cf31190c691e98734a58,0x16b70f44719b227278a2dc1122e8106cc929ecd1,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x4d003a5ea1ef10fed8dd08fb90a79b198e9863f3,103
0x77696bb39917c91a0c3908d577d5e322095425ca,0x4d003a5ea1ef10fed8dd08fb90a79b198e9863f3,103
0x77696bb39917c91a0c3908d577d5e322095425ca,0x4d003a5ea1ef10fed8dd08fb90a79b198e9863f3,103
0x77696bb39917c91a0c3908d577d5e322095425ca,0x4d003a5ea1ef10fed8dd08fb90a79b198e9863f3,103
0x77696bb39917c91a0c3908d577d5e322095425ca,0x4d003a5ea1ef10fed8dd08fb90a79b198e9863f3,103
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0xe7e6f1ca5993f2c3f7e5f2510f620e0d97985b91,2
0x77696bb39917c91a0c3908d577d5e322095425ca,0x4d003a5ea1ef10fed8dd08fb90a79b198e9863f3,103
0x0000000000000000000000000000000000000000,0x4525f7d64a4d69304a5a8a1f9345fc44de308b8f,32
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x74de5d4fcbf63e00296fd95d33236b9794016631,306
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x5eeb989b5d6f3fa40276e6987c527d2b1b4831bf,3
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x59e0fc7e4d41b9cd1040d499cc7d781c722ab279,4
0x4525f7d64a4d69304a5a8a1f9345fc44de308b8f,0x5f65f7b609678448494de4c87521cdf6cef1e932,31
0x99de353c2ece22855c61d24312b7782d5e331a44,0x9844bbfbe2621d13fe35132bd9a72057faa49696,1
0xf69d14d36ff5bd9165b8adfc1a860d45b143778b,0x220bda5c8994804ac96ebe4df184d25e5c2196d4,1
0x220bda5c8994804ac96ebe4df184d25e5c2196d4,0xacf98af36845ec9aeda29feed2907ea287388cf3,3
0x220bda5c8994804ac96ebe4df184d25e5c2196d4,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,7
0x000000000dfde7deaf24138722987c9a6991e2d4,0x16b70f44719b227278a2dc1122e8106cc929ecd1,39
0x77696bb39917c91a0c3908d577d5e322095425ca,0xf0703c4e185a09adec0bce74c90abe20243f92fd,2
0x77696bb39917c91a0c3908d577d5e322095425ca,0x8d760b230abd864f4fbab714e5d30d48e9e427a1,1
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,57
0x77b6359a8ecddc8e82f9708947d81b4fc178a80f,0x9ff7808735e0baac53a621445177ba246b2e4f5b,1
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x720e8508c96a2a632022d11148ed00dc895e4bc9,6
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x3e10cf274eff4ec08a83076baa7167cd5922d6fa,1
0x0000000000000000000000000000000000000000,0xc40cc73d34cd4b6fa9bf2faf6a24a2cf38f19dae,53
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x23e4c6e6a2ae3cd7154cd6fd2d682527bece79c0,1
0xc40cc73d34cd4b6fa9bf2faf6a24a2cf38f19dae,0x5f65f7b609678448494de4c87521cdf6cef1e932,54
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x80c218637ecc5aaf3e7521286553ce14144d0c31,7
0x0000000000000000000000000000000000000000,0x4525f7d64a4d69304a5a8a1f9345fc44de308b8f,32
0x4525f7d64a4d69304a5a8a1f9345fc44de308b8f,0x5f65f7b609678448494de4c87521cdf6cef1e932,31
0x3e10cf274eff4ec08a83076baa7167cd5922d6fa,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,1
0xb476aa1fe67fb64672eff2d7449af424df4cb615,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x27a7c9eda6e7cf8afe0aa0ed0f5ab70d40fa2f77,2
0x8f613173830af9747895f91b10fa45cee7f8ac33,0x88172e5d79fe75c7aed1453e89ff5d741cfa4ca7,1
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x720e8508c96a2a632022d11148ed00dc895e4bc9,6
0xfb075479960a0a045895310c8c7fc886ff1c3161,0x16b70f44719b227278a2dc1122e8106cc929ecd1,1
0x026f8a66f8bcd5b6eb5569d4c573607f3004b82c,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,1
0xe54b8202f2471bbc5914b2ffbfa03236faaf7833,0x7210e71c96e002ecc784f4be6f0cb5ce35e49b2d,1
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0x187aa514d346428ea48d243a60cec2d529244750,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0xb276222e6bb7553d5ae37dfd655b0f2d9e902743,1
0x868da14db0837d8c91c73ccbcd4cc4a2d8cea992,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x27a7c9eda6e7cf8afe0aa0ed0f5ab70d40fa2f77,2
0xc6f4f414de3d5e3fa3289348781717478c0f5146,0x572f83df0d7fabea6bc79226c6400347d058d2b7,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0xa4e42b6b745c25cd9020b527d3e27e617aef8df8,1
0xcc75ea2dbeb8c2c9c9c2c520e8e4e7503e4a4715,0xa9a34c1f80974dbcbeaf71a985fa367ea14bbf76,1
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x3204e56e7db9a87d29955ac655f21c57c39466c7,1
0x383346dd8100eb81841c83a70a68ec8f4586654d,0x0000000000000000000000000000000000000000,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0xf345bc19aa6fd2fff2b95c0533258132a7c96354,1
0x9ff7808735e0baac53a621445177ba246b2e4f5b,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x8a8d5868efa8dbad37dcab439b01d213c74195e2,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x8bc89d4f760c6dd6f8f8d19b76c3435ab859c5dc,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0xe7fc7adba366657a371392cffa5391d4663d0c3a,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0xb6b2abc019978d469bd0e1beea52749a2ea5c26b,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0xc4f7b60616acd592b2f2e730ee49d65d8b123cc4,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x82ac0779990699bb1604492e6a873c4f8dfaf623,0x77696bb39917c91a0c3908d577d5e322095425ca,2
0x23fcfa72a04e05a0ea8067f4b31af61123633d21,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x0dc9f3fedbf80408c4f3bf2c5e1ae077c92d9d05,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x12bb4b660a8b30197c3e83e2c64bf421abf1ad78,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0xa380a26981ec7e345a5cd2f3ef3415ea72170087,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x1026955e053fc970e540fe2ec12dfe861e80f136,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0xb49bed17e0f688ab077b565a367c2310b193395c,1
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x20d8e3a6010d1d11bc0f0ae9cb3e5345673bf69d,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x75b9da021358eb2a547257d392bcabf2b3daf5ce,1
0x572f83df0d7fabea6bc79226c6400347d058d2b7,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x6f6e6569ea6c90fbfc73b6b8314de02570545fca,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x5d7501d48b876389726264a56b264eac37ef5448,2
0x97be3550dbee58d1ddbc8704a038baa9350f44e1,0xa89250214b57a62ec826b2e62476ff1347e28f49,2
0x77696bb39917c91a0c3908d577d5e322095425ca,0x57e7604e763fe4f8c7829fa56fce7baa360f6354,1
0x1867b6ab68e539dcfd8bfb7c2ae8dfad47f63cc5,0x74de5d4fcbf63e00296fd95d33236b9794016631,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x16b70f44719b227278a2dc1122e8106cc929ecd1,520
0x77696bb39917c91a0c3908d577d5e322095425ca,0x1190f071260578d7e120f0a2f9a759994feebd78,2
0x77696bb39917c91a0c3908d577d5e322095425ca,0x791c4ba79b6c613216fd74585ae63675aece09c9,1
0x4f884f5c1f56f91d023fde34188d77ba48b726eb,0x28c6c06298d514db089934071355e5743bf21d60,1
0x57e7604e763fe4f8c7829fa56fce7baa360f6354,0x28c6c06298d514db089934071355e5743bf21d60,1
0x75b9da021358eb2a547257d392bcabf2b3daf5ce,0x28c6c06298d514db089934071355e5743bf21d60,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x1190f071260578d7e120f0a2f9a759994feebd78,2
0x77696bb39917c91a0c3908d577d5e322095425ca,0xcc12d789dcd008fa0e0fee39bb8ae889ad0278c7,1
0xcf88a601d59d50f7fcde64b82c2fd1fa7320353d,0x50e629eaeddb4a9736b986b48c363af463815b46,2
0x73f9008e2a109907e1790027e53ef9496eb5eff7,0x27239549dd40e1d60f5b80b0c4196923745b1fd2,1
0x27239549dd40e1d60f5b80b0c4196923745b1fd2,0x16b70f44719b227278a2dc1122e8106cc929ecd1,184
0x77696bb39917c91a0c3908d577d5e322095425ca,0x5be553b6895596e1f1c194723031e028fbd8693f,9
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x50399a1ddf1e1dccca6d15e67a31ad5bb4543cc0,1
0xcf88a601d59d50f7fcde64b82c2fd1fa7320353d,0x50e629eaeddb4a9736b986b48c363af463815b46,2
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0xadfa6da67a956debbdb2a696e9784f1a343d268d,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x408955b02a607652c99c58f878aa59cdb52bd68f,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0xd37e38716c7ace5eb8cfb26a03133815a7d17624,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x5f15523d1a099fb1f65922bc31fbad60dff76056,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x5be553b6895596e1f1c194723031e028fbd8693f,9
0x185569b6869bbbb361c57a08f4485045a06f5efd,0xf1e57cf823bcc794c9a3cde17ff91b67d9a523a8,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x40aacdaf240787874fcee831d3a88db6653d58fa,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x5be553b6895596e1f1c194723031e028fbd8693f,9
0x97be3550dbee58d1ddbc8704a038baa9350f44e1,0x2303691a4ab8fc0404c98736ece9b687f8c56ac6,2
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0xc36442b4a4522e871399cd717abdd847ab11fe88,284
0xc36442b4a4522e871399cd717abdd847ab11fe88,0xccab4a55be1247733918d500e52487069c253f63,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x09f62bc01b1f2f79393316c470a2fd1f4687ebd0,3
0x77696bb39917c91a0c3908d577d5e322095425ca,0x5be553b6895596e1f1c194723031e028fbd8693f,9
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x74de5d4fcbf63e00296fd95d33236b9794016631,306
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x2a73afa045534a8430cf7c3470e29c95622d71d9,2
0x77696bb39917c91a0c3908d577d5e322095425ca,0x09f62bc01b1f2f79393316c470a2fd1f4687ebd0,3
0x77696bb39917c91a0c3908d577d5e322095425ca,0x5be553b6895596e1f1c194723031e028fbd8693f,9
0x50e629eaeddb4a9736b986b48c363af463815b46,0x28c6c06298d514db089934071355e5743bf21d60,1
0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,9
0x77696bb39917c91a0c3908d577d5e322095425ca,0x75eec11bba390870538b0100c4d027cb13c81476,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x8ea7f4a1268dc0bb7102c1b4d58b142cd2d046b5,1
0x27a7c9eda6e7cf8afe0aa0ed0f5ab70d40fa2f77,0xa13f78fac1a4ee1fd49eb4e2a62f6cbc57672525,2
0x28c6c06298d514db089934071355e5743bf21d60,0xaa249570d11d9cb3936c3987fbcc84a72b5e7d54,2
0xf1e57cf823bcc794c9a3cde17ff91b67d9a523a8,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x96454634940ac3c7d7cb44d290504f5f06d75869,0x74de5d4fcbf63e00296fd95d33236b9794016631,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,591
0x77696bb39917c91a0c3908d577d5e322095425ca,0x3afa8246442ab980470b38e57fbc3688157e45ca,1
0xd37e38716c7ace5eb8cfb26a03133815a7d17624,0x9b0229c39498cb04408a240ca778a0930e5a77f9,1
0x27a7c9eda6e7cf8afe0aa0ed0f5ab70d40fa2f77,0xa13f78fac1a4ee1fd49eb4e2a62f6cbc57672525,2
0x164a9cd64cabba48b5cd5a3fd2018f863af11972,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x2692daad303ed9ecabd11bfe2fbcc6543dd484a0,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x93ab86acdd2a1f5921fb5971760745b8610d2fd0,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0xb4e4b00a606bb318beec261c0c49c7899d6321a0,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x9ebded71092e0d48af9c70aa24254993a3d3c8a4,0x065e70073c812d96708d6392c66652c97890b5eb,2
0x77696bb39917c91a0c3908d577d5e322095425ca,0x350b8cd53e6f7bc7b2fc5b80891825ccabb635fe,2
0xbe5268e078872a8d5c1f593389d67428107d10bc,0x7210e71c96e002ecc784f4be6f0cb5ce35e49b2d,1
0x28c6c06298d514db089934071355e5743bf21d60,0xaa249570d11d9cb3936c3987fbcc84a72b5e7d54,2
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0xc04b70290e1f97ed289da6c22be77526ab1e7493,2
0xccab4a55be1247733918d500e52487069c253f63,0xcfcb403bee4b8f91eec947739c95157970c1b346,1
0x88172e5d79fe75c7aed1453e89ff5d741cfa4ca7,0x23348a0ad982170e475ec3d1507feaeb222cbb24,1
